"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_Description"	"Sniper locks onto a target enemy unit and, after %aim_duration%s, <font color='#70EA72'> fires a shot to the target and enemies within a radius of %radius% that deals critical damage and stuns them for %stun_duration%s.</font>"
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_scepter_description"	"Increases %crit_bonus%%% Assassinate [Dark Moon] Crit. Reduces %cast_point_reduce%%% cast points of the ability per attack speed and ignores the passive abilities of the target."
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_Lore"	"In order to fulfill the prophecy and return to his home town, Kardel must make another shot as perfect as the one on the day of his ancient test."
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_Note0"	"Only allies can see the aimed effect."
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_Note1"	"The invisible cannot dodge the skill projectile."
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_Note2"	"Channeling can be interrupted which ignores spell immune."
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_cast_point_reduce"				"%Reduced Cast Points per Attack Speed:"
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017_crit_bonus"					            "%CRITICAL DAMAGE:"
		// "DOTA_Tooltip_modifier_sniper_assassinate_dm2017"	"Assassinate [Dark Moon]"
		// "DOTA_Tooltip_modifier_sniper_assassinate_dm2017_Description"	"You're Aimed."
		"DOTA_Tooltip_modifier_sniper_assassinate_dm2017_cast_point"	"Assassinate [Dark Moon]"
		"DOTA_Tooltip_modifier_sniper_assassinate_dm2017_cast_point_Description"	"Assassinate [Dark Moon] reduces %dMODIFIER_PROPERTY_TOOLTIP%%% cast points"
		// 去掉原版暗杀的错误魔晶描述
		"DOTA_Tooltip_ability_sniper_assassinate_shard_description"	""
		//去掉原版吞噬的错误魔晶描述
		"DOTA_Tooltip_ability_doom_bringer_devour_shard_description"	""
		"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_lua"	"Voodoo Switcheroo"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_lua_Description"	"Witch Doctor becomes hidden Death Ward temporarily with slow attacks"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_lua_duration"	"DURATION:"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_lua_attack_speed_reduction"	"Attack Speed Reduction:"
		"DOTA_Tooltip_modifier_witch_doctor_voodoo_switcheroo_lua"	"Voodoo Switcheroo"
		"DOTA_Tooltip_modifier_witch_doctor_voodoo_switcheroo_lua_Description"	"Become Death Ward temporarily"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua"	"Death Ward"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_description"	"Channeled-Summon a Death Ward to attack enemies within the radius for %abilitychanneltime% seconds. The Death Ward has %bonus_accuracy%%% bonus Accuracy."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_scepter_description"	"Death Ward attacks have True Strike and bounce between nearby enemies."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_Lore"	"Witch Doctor performs a ritualistic dance, one that haunts the dreams of those who live to recount it."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_Note0"	"Death Ward is invulnerable. Only killed if Witch Doctor is interrupted or his duration is over."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_Note1"	"Death Ward can be controlled and selects the target to attack."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_Note2"	"Death Ward deals damage in 0.22-second intervals."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_damage"	"ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_attack_range_tooltip"	"ATTACK RANGE:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_lua_bounce_radius"	"BOUNCE DISTANCE:"
		//2022.11.17
		"DOTA_Tooltip_ability_luna_lunar_blessing_shard_description"	""
		//2022.11.22
		"DOTA_Tooltip_ability_tusk_snowball_lua"	"Snowball"
		"DOTA_Tooltip_ability_tusk_snowball_lua_Description"	"Tusk begins rolling into a snowball. Allies within a %snowball_grab_radius% radius can also be added to the snowball by right-clicking on them, even while the snowball is moving. Once launched, any enemies caught in the snowball's path will be stunned and take damage. Each allied Hero in the snowball will add to its damage."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Lore"	"Tales are still told of the wild feat that ended the grand brawl at White Fields."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Note0"	"The snowball will break apart a maximum of 3 seconds after launch."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Note1"	"The snowball can be launched early by pressing using the Launch Snowball ability."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Note2"	"Doesn't carry illusions, but will carry Meepo clones and other units that Tusk controls."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Note3"	"Each Meepo clone added to the snowball will add its own bonus damage."
		"DOTA_Tooltip_ability_tusk_snowball_lua_Note4"	"Allies can click on a snowball to add themselves to it."
		"DOTA_Tooltip_ability_tusk_snowball_lua_snowball_damage"	"BASE DAMAGE:"
		"DOTA_Tooltip_ability_tusk_snowball_lua_snowball_damage_bonus"	"BONUS DAMAGE PER ALLY:"
		"DOTA_Tooltip_ability_tusk_snowball_lua_snowball_speed"	"SNOWBALL SPEED:"
		"DOTA_Tooltip_ability_tusk_snowball_lua_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_tusk_snowball_lua_snowball_windup_radius"	"ROLL-IN RANGE:"
		"DOTA_Tooltip_ability_tusk_snowball_lua_snowball_windup"	"LAUNCH TIME:"
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua"	"Launch Snowball"
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua_Description"	"Launch the snowball toward the target."
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua_Lore"	"Into the great wide white!"
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua_Note0"	"The snowball destroys trees."
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua_Note1"	"Doesn't carry illusions, but will carry Meepo clones and other units that Tusk controls."
		"DOTA_Tooltip_ability_tusk_launch_snowball_lua_Note2"	"Each Meepo clone added to the snowball will add its own bonus damage."
		"DOTA_Tooltip_modifier_tusk_snowball_lua_ally"	"Snowball"
		"DOTA_Tooltip_modifier_tusk_snowball_lua_ally_Description"	"Inside Tusk's snowball."
		//2022.11.24
		"DOTA_Tooltip_ability_elf_wolf_cripple"					"Cripple"
		"DOTA_Tooltip_ability_elf_wolf_cripple_Description"		"Gives %maim_chance%%% to cripple the target, causing %maim_damage% damage per second and lose %maim_attack_speed% Attack Speed for %maim_duration% seconds."
		"DOTA_Tooltip_ability_elf_wolf_cripple_maim_chance"		"%CRIPPLE CHANCE:"
		"DOTA_Tooltip_ability_elf_wolf_cripple_maim_damage"      "DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_elf_wolf_cripple_maim_movement_speed"    "%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_elf_wolf_cripple_maim_attack_speed"    "ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_elf_wolf_cripple_maim_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_elf_wolf_cripple_debuff"               "Cripple"
		"DOTA_Tooltip_modifier_elf_wolf_cripple_debuff_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and taking %dMODIFIER_PROPERTY_TOOLTIP% damage."
		//2022.12.24
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua"					"Vampiric Spirit"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_Description"		"Restore health based on the damage Wraith King deals when attacking all controlled units. Can be cast to summon one Skeleton Fighter with Vampiric Spirit. \n The Skeleton Fighter has a passive ability [Plunder Blood]: each attack with bonus %max_hp_steal% pure damage. \n When Wraith King learns corresponding talents, it allows the Skeleton Fighter to learn Mortal Strike. The Skeleton Fighter will have the same effect after Wraith King learns +25% Cleave Talent."
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_vampiric_aura"		"%LIFESTEAL:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_skeleton_duration"      "SKELETON FIGHTER DURATION:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_skeleton_damage"      "SKELETON FIGHTER ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_skeleton_health"      "SKELETON FIGHTER HEALTH:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_lua_max_fighter_count"      "SKELETON FIGHTER MAX COUNT:"
		"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_lua_effect"		                "Vampiric Spirit"
		"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_lua_effect_Description"          "Regaining health with each attack"
		"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_lua_reincarnate"		                "Reincarnation"
		"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_lua_reincarnate_Description"          "Full health regeneration when taking lethal damage."
		
		"DOTA_Tooltip_ability_skeleton_fighter_mortal_strike"					"Mortal Strike"
		"DOTA_Tooltip_ability_skeleton_fighter_mortal_strike_Description"		"Skeleton Fighter will deal passive bonus damage with a multiplier of plunder blood after Wraith King learns the corresponding talent. This ability has a cooldown. \n Bonus of Wraith King’s talent [-2s Mortal Strike cooldown]"
		"DOTA_Tooltip_ability_skeleton_fighter_mortal_strike_crit_multi"		"%CRITICAL DAMAGE:"
		
		"DOTA_Tooltip_ability_skeleton_fighter_plunder_blood"					"Plunder Blood"
		"DOTA_Tooltip_ability_skeleton_fighter_plunder_blood_Description"		"Each attack deals additional %max_hp_steal% pure damage."
		
		"DOTA_Tooltip_ability_special_bonus_unique_wraith_king_6"	"Mortal Strike is learned by Skeleton Fighter"
		"DOTA_Tooltip_ability_special_bonus_unique_wraith_king_5"	"+1 SKELETON FIGHTER REINCARNATE"
		
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua"					"Elder Dragon Form"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_Description"		"Dragon Knight takes the form of one of three powerful elder dragons, increasing his speed, and Dragon Tail's range, while granting him new powers.\n<font color=\"#9acd32\">LEVEL 1 Green Dragon</font> - Corrosive Breath: attacks reduce %corrosive_breath_armor_reduce% points of armor for %corrosive_breath_duration%s.\n<font color=\"#ff0000\">LEVEL 2 Red Dragon</font> - Splash Attack: attacks damage all enemy units in a %splash_radius% radius for %splash_damage_percent%%% damage, with Corrosive Breath added to the targets.\n<font color=\"#87ceeb\">LEVEL 3 Blue Dragon</font> - Frost Breath: slows movement speed by %frost_bonus_movement_speed%%% and attack speed by %frost_bonus_attack_speed% of enemy units in Splash Attack range for %frost_duration% seconds, with Corrosive Breath added to the targets."
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_Lore"			"The dormant dragon power springs forth from within Davion, combining the powers of a legendary knight with a legendary Eldwurm."
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_duration"		"DURATION:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_bonus_movement_speed""BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_bonus_attack_range""BONUS ATTACK RANGE:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_magic_resistance"                  "%MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_corrosive_breath_armor_reduce"                  "ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_splash_damage_percent"                  "%SPLASH DAMAGE:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_frost_bonus_movement_speed"                  "%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_Note0"			"Cooldowns of items that are different for ranged and melee units will be based on which form Dragon Knight was in when the item was used."
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_lua_scepter_description""Increase the armor lowered by Corrosive Breath, the damage dealt by Splash Attack, and the effect of slowing enemy movement speed caused by Frost Breath. There will be a %magic_resistance%%% bonus Magic Resistance and free pathing."
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_green"			"Corrosive Breath"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_green_Description""Reduces the enemy's armor on attack"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_corrosive"		"Corrosive Breath"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_corrosive_Description""Armor is reduced by %dMODIFIER_PROPERTY_TOOLTIP%."
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_red"			"Splash Attack"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_red_Description""Splashes attack damage to nearby units."
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_blue"			"Frost Breath"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_blue_Description""Applies Slow on attack."
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_frost"			"Frost Breath Slow"
		"DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_lua_frost_Description""Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		
		"DOTA_Tooltip_ability_furion_force_of_nature_lua"									"Nature's Call"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_Description"						"Converts an area of trees into Treants under the command of Nature's Prophet."
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_Lore"								"Verodicia bestowed the Prophet with the ability to summon the Treant Guard, a mythical sentient army of the wild."
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_Note0"								"Nature's Call can only create as many treants as there are trees in the target area."
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_duration"							"TREANT DURATION:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_max_treants"						"TREANT COUNT:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_treant_health"				        "TREANT HEALTH:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_treant_dmg"				        "TREANT DAMAGE:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_max_wave_limit"					"MAX WAVE:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_shard_max_treants"					"GREATER TREANT COUNT:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_attri_multi"				        "GREATER TREANT STATS MULTIPLIER:"
		"DOTA_Tooltip_ability_furion_force_of_nature_lua_shard_description"                 "Makes Nature's Call can be set to autocast. The Greater Treant can be summoned instead of the normal Treant after the autocast is on. Treant has two abilities: Thicket and Tree Grab."
		
		"DOTA_Tooltip_ability_special_bonus_unique_furion_2"	"+{s:bonus_max_treants} Treants Summoned/+1 Greater Treants Summoned"
		
		"DOTA_Tooltip_ability_treant_large_entangle"									"Thicket"
		"DOTA_Tooltip_ability_treant_large_entangle_Description"						"Each time attack or be attacked, there is a chance to leash and disarm the target, dealing damage once when triggered. The damage is related to the attack damage of Greater Treant. If a hero is successfully leashed, this ability will be in cooldown."
		"DOTA_Tooltip_ability_treant_large_entangle_duration"							"DURATION:"
		"DOTA_Tooltip_ability_treant_large_entangle_trigger_chance"						"%CHANCE TO LEASH:"
		"DOTA_Tooltip_ability_treant_large_entangle_attack_damage_pct"					"%ATTACK DAMAGE:"
		"DOTA_Tooltip_modifier_treant_large_entangle_debuff"			                "Thicket"
		"DOTA_Tooltip_modifier_treant_large_entangle_debuff_Description"                "Attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_treant_large_tree_grab"									"Tree Grab"
		"DOTA_Tooltip_ability_treant_large_tree_grab_Description"						"Greater Treant wields thick trunks, cleaving nearby enemy units with each attack"
		"DOTA_Tooltip_ability_treant_large_tree_grab_cleave_damage_percent"				"%CLEAVE DAMAGE:"
		
		"DOTA_Tooltip_ability_dark_seer_surge_lua"											"Surge"
		"DOTA_Tooltip_ability_dark_seer_surge_lua_Description"								"Charges a target friendly unit with power, giving it a brief burst of phased movement speed. Allows the unit to reach maximum movement speed and cannot be slowed."
		"DOTA_Tooltip_ability_dark_seer_surge_lua_shard_Description"						"The duration of Surge increased by %duration%. For every 100 Range the target moves, a random skill on cooldown is reduced by %cd_reduce%s, not affecting abilities with a remaining cooldown of fewer than %cd_min%s."
		"DOTA_Tooltip_ability_dark_seer_surge_lua_Lore"										"Ish'Kafel once used his speed of mind to navigate the maze between the walls."
		"DOTA_Tooltip_ability_dark_seer_surge_lua_Note0"									"Units with Surge cannot be slowed unless the Surge effect is removed."
		"DOTA_Tooltip_ability_dark_seer_surge_lua_duration"									"DURATION:"
		"DOTA_Tooltip_ability_dark_seer_surge_lua_cd_reduce"									"COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_dark_seer_surge_lua_cd_min"									"MIN REMAINING COOLDOWN TO REDUCE:"
		"DOTA_Tooltip_ability_dark_seer_surge_lua_shard_Description"								"every 1 second, if a unit with Surge is moving, it will randomly reduce an ability on cooldown by 0.6 seconds, not affecting abilities with a remaining cooldown of fewer than 3 seconds."
		"DOTA_Tooltip_modifier_dark_seer_surge_lua"							"Surge"
		"DOTA_Tooltip_modifier_dark_seer_surge_lua_Description"				"Movement speed increased to %dMODIFIER_PROPERTY_MOVESPEED_ABSOLUTE_MIN%."
		
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua"								"Magic Missile"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_Description"					"Fires a magic missile at an enemy unit, stunning and dealing damage."
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_shard_description"			"Bounces %bounce_count% times on an enemy within Magic Missile's current cast range. If the enemy is attacking or casting upon the caster, a bonus of 50%% damage and stunning will be dealt by Magic Missile."
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_Lore"						"A simple Skywrath technique, the magic missile is Shendel's primary tool for vengeance."
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_magic_missile_stun"			"STUN DURATION:"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_magic_missile_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_abilitycastrange"			"CAST RANGE:"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_bounce_count"			"BOUNCES:"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_lua_bonus_damage_pct"			"%Damage of Being the Target:"
		
		"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua"							"Luminosity"
		"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_Lore"							"Diminished in power without access to the Children's replenishing light, Valora can still recharge herself and her allies by creating order from the chaos which resides within each fight."
